Data,BG000,GM000,GM001,PN000,PS001,PS000,BD000,BD002,BD003,BD005,BD007,BD009,BD010,JT000,PP010,GV001,GV002,VD000,LB000,LB001,LB003,IP003,IP010,IP006,AR000,PD000,CP100,CP004,CP005,CP008,LM002,VR000,UR000,BT000,BT001,FL000,FL004
2005-01-03,23,23,,30,,23,23,23,30,30,50,280,2300,,23,23,,23,23,,300,500,23,23,300,23,230,300,500,300,1300,340,300,7000,,,230
2005-01-06,23,23,,23,,23,50,30,23,23,50,800,2300,,3000,9000,,3000,5000,,9000,16000,2400,9000,23,23,130,30,130,80,80,23,9000,1600000,,,13000
2005-01-10,80,30,,30,,30,30,30,23,50,50,30,300,,30,230,,80,30,,50,130,23,30,130,80,30,30,80,80,23,30,50000,110000,,,7000
2005-01-13,30,50,,30,,30,50,50,70,80,50,220,8000,,1300,500,,300,80,,800,300,800,500,300,230,1300,3000,1300,1300,2400,1100,5000,1600000,,,13000
2005-01-17,230,23,,23,,23,23,23,23,23,30,30,30,,50,80,,130,80,,50,50,230,23,80,130,30,50,30,30,50,230,230,300000,,,300
2005-01-24,30,50,,50,,50,23,30,80,30,50,30,800,,80,230,,130,16000,,50,80,130,80,50,130,80,130,50,130,300,300,130,2300,,,130
2005-01-27,30,23,,50,,23,23,23,23,50,50,30,30,,300,500,,230,300,,500,230,800,230,230,500,300,300,16000,16000,16000,700,24000,240000,,,160000
2005-01-31,3000,1300,,1300,,3000,2400,2400,500,5000,2400,3000,2300,,30,130,,23,80,,80,500,300,300,30,30,230,130,80,50,230,80,800,80000,,,800
2005-02-03,23,50,,30,,30,23,30,23,23,23,30,800,,50,30,,50,30,,23,23,23,50,30,130,240,500,130,240,130,500,800,50000,,,1300
2005-02-10,300,800,,300,,230,300,230,300,230,300,500,230,,300,230,,230,300,,80,130,80,30,50,80,500,80,800,30,80,50,5000,300000,,,5000
2005-02-14,23,3000,,23,,23,23,23,23,23,23,30,130,,80,230,,130,50,,110,80,30,1100,230,230,300,500,300,1300,800,300,2200,50000,,,3000
2005-02-17,23,23,,23,,23,23,23,30,23,23,300,220,,9000,16000,,5000,230,,23,50,23,3000,23,23,30,23,80,23,30,30,230,8000,,,800
2005-02-21,1300,23,,23,,80,80,230,300,23,130,110,30,,3000,16000,,16000,16000,,500,16000,130,300,500,230,30,50,30,50,800,800,30,1300,,,3000
2005-02-24,40,50,,130,,30,30,80,50,50,50,130,30,,30,23,,50,23,,50,30,50,50,50,50,80,80,30,23,23,70,1300,50000,,,3000
2005-02-28,80,23,,23,,23,23,23,23,30,23,50,500,,3000,2400,,3000,2400,,500,800,3000,2400,800,500,500,800,500,300,500,800,5000,13000,,,1300
2005-03-03,23,23,,23,,23,23,23,23,23,23,30,130,,3000,5000,,2400,9000,,5000,5000,500,800,500,800,130,300,130,500,80,300,13000,50000,,,500
2005-03-07,23,23,,30,,30,30,23,23,50,30,23,1700,,500,16000,,230,50,,30,23,50,30,23,80,300,130,230,130,23,50,1700,50000,,,2400
2005-03-10,130,5000,,80,,300,80,130,80,170,23,80,130,,5000,16000,,16000,50,,80,80,50,80,30,50,23,30,50,30,30,30,130,13000,,,300
2005-03-14,1300,800,,23,,130,30,23,23,23,23,23,800,,23,110,,23,30,,23,23,80,50,80,30,30,70,30,50,50,70,800,300,,,1300
2005-03-17,23,23,,23,,23,23,23,23,23,30,30,50,,230,230,,130,5000,,80,110,80,80,23,23,50,80,80,23,30,23,300,13000,,,30
2005-03-21,50,50,,23,,23,23,50,230,300,230,30,500,,23,80,,30,30,,30,300,230,130,30,23,130,230,130,170,300,110,800,500,,,9000
2005-03-28,170,500,,220,,220,220,80,130,300,230,230,30000,,50,160000,,300,130,,300,50,23,50,110,50,50,300,50,50,80,50,500,23000,,,1100
2005-03-31,23,23,,23,,70,130,50,50,50,50,80,2200,,500,300,,800,130,,1300,130,300,80,130,130,80,50,80,30,50,170,300,900000,,,160000
2005-04-04,1300,23,,23,,30,23,1300,500,80,30,23,50,,80,130,,30,1300,,170,130,30,230,50,50,130,500,80,230,30,50,3000,50000,,,7000
2005-04-07,230,130,,130,,170,170,170,220,220,170,80,1700,,1300,1300,,1300,170,,110,130,130,70,80,70,110,130,500,80,130,230,1100,900000,,,22000
2005-04-11,30,23,,23,,23,23,23,23,23,23,50,50,,170,1300,,80,110,,130,170,350,300,230,130,300,300,230,500,230,300,800,8000,,,300
2005-04-14,23,23,,30,,30,23,30,23,30,23,23,23,,1300,1300,,700,300,,30,23,30,23,23,23,800,800,50,50,50,170,2300,23000,,,13000
2005-04-18,170,23,,130,,23,23,30,23,30,23,1300,5000,,5000,2200,,1300,9000,,3000,2400,2400,1300,1700,800,2400,800,9000,800,230,50,50000,110000,,,5000
2005-04-25,3000,23,,23,,30,23,23,23,23,23,23,500,,500,300,,300,500,,500,50,30,50,30,30,130,130,500,130,23,230,8000,11000,,,230
2005-04-28,300,23,,23,,23,23,23,23,23,23,3000,1400,,1300,16000,,500,9000,,9000,5000,1300,2400,3000,3000,500,1300,800,1300,16000,500,17000,170000,,,50000
2005-05-02,1700,23,,23,,23,23,23,23,23,23,23,13000,,900,3000,,700,5000,,5000,800,1300,9000,300,300,1700,5000,1700,3000,500,500,1300,17000,,,13000
2005-05-05,500,220,,300,,300,130,230,300,1300,300,5000,30000,,500,2200,,2400,9000,,5000,3000,3000,50,30,50,80,80,130,130,300,230,3000,1600000,,,50000
2005-05-09,130,30,,23,,23,23,23,23,23,23,23,130,,50,130,,30,80,,16000,700,80,30,50,70,80,170,70,130,1700,110,3000,50000,,,2800
2005-05-12,50,80,,130,,30,50,50,30,50,30,500,500,,230,300,,130,800,,1300,16000,16000,16000,16000,30,230,80,80,50,130,23,800,240000,,,500
2005-05-16,30,23,,23,,23,23,23,23,23,23,23,500,,50,30,,50,70,,50,50,50,50,23,30,50,30,30,30,30,23,1300,240000,,,230
2005-05-19,2400,80,,23,,30,130,5000,3000,2400,5000,50,300,,23,130,,80,50,,30,23,23,30,30,23,130,80,800,3000,500,80,1300,1600000,,,2300
2005-05-23,30,23,,23,23,5000,30,80,50,230,50,30,130,,2400,5000,,3000,1300,,800,300,500,1300,2400,1300,800,500,800,500,1700,500,300,80000,,,130
2005-05-30,16000,30,,23,9000,23,130,80,80,50,23,3000,5000,,23,30,,30,23,,23,23,30,30,23,30,130,30,23,30,23,23,1300,240000,,,2300
2005-05-02,30,23,,23,,23,23,23,30,23,800,23,500,,300,300,,230,50,,30,23,23,23,30,23,50,23,130,50,230,230,300,500000,,,2300
2005-06-06,3000,80,,50,,23,300,230,230,230,300,230,1300,,1300,300,,230,300,,300,50,500,230,230,500,230,130,50,130,50,23,90000,90000,,,8000
2005-06-09,1300,23,,23,,23,23,30,30,23,23,80,230,,130,50,,230,80,,230,80,50,50,130,130,30,130,80,130,300,130,300,300000,,,500
2005-06-13,50,50,,70,,23,23,23,30,50,30,300,300,,30,90,,23,23,,23,500,23,30,23,50,500,300,220,50,50,80,800,1600000,,,170
2005-06-16,23,23,,23,23,23,23,23,23,23,23,23,23,,50,30,,70,70,,50,50,30,50,130,230,23,30,50,23,23,30,230,160000,,,130
2005-06-20,23,23,,23,23,23,80,30,30,30,30,230,16000,,300,230,,30,80,,500,170,80,1300,80,130,80,30,50,30,30,30,230,160000,,,800
2005-06-23,16000,30,,50,23,2400,30,30,30,30,30,50,5000,,170,80,,50,16000,,130,50,700,1300,50,230,230,230,500,300,500,300,900,900000,,,23000
2005-06-27,300,30,,30,3000,80,30,23,23,23,23,230,1400,,300,300,,300,30,,800,1300,220,23,800,300,30,23,23,30,23,130,2400,3000,,,800
2005-06-30,1600,23,,23,23,900,23,23,23,23,23,1600,1700,,30,23,,30,23,,23,23,23,30,23,23,23,70,50,30,30,23,500,160000,,,700
2005-07-04,3000,30,,50,23,23,80,30,50,30,140,230,1700,,30,23,,30,23,,23,23,23,23,23,23,23,23,23,23,30,23,500,300000,,,500
2005-07-07,30,70,,30,23,30,50,80,30,30,30,23,700,,80,50,,50,5000,,5000,2400,130,3000,3000,9000,1300,500,2400,3000,16000,5000,5000,500000,,,1700
2005-07-11,5000,170,,1300,80,2400,230,170,500,700,300,800,500,,50,23,,50,50,,30,30,23,23,23,30,50,220,30,30,300,23,300,50000,,,500
2005-07-14,16000,23,,23,230,30,23,23,23,23,23,3000,1100,,230,30,,23,30,,23,80,23,23,23,50,170,80,50,130,23,50,13000,80000,,,8000
2005-07-18,700,30,,23,23,300,23,23,23,23,23,23,30,,230,50,,130,300,,500,130,130,700,700,500,170,130,210,140,800,300,110,2300,,,70
2005-07-21,23,30,,23,130,1300,23,30,23,50,23,50,5000,,80,80,,110,300,,220,23,23,23,23,23,23,23,170,50,50,170,1300,80000,,,2200
2005-07-25,23,23,,50,230,23,30,23,23,23,23,30,110,,50,23,,230,30,,30,30,220,300,30,50,500,50,30,30,30,130,30000,70000,,,3000
2005-07-28,300,23,,23,30,50,23,23,23,23,23,50,500,,50,50,,23,130,,23,23,50,23,23,50,30,30,50,70,50,130,130,160000,,,130
2005-08-01,110,23,,23,23,23,23,23,30,30,220,5000,5000,,30,23,,23,23,,23,23,23,23,23,23,23,23,23,23,23,30,300,50000,,,300
2005-08-04,70,30,,23,30,23,23,80,80,23,30,50,80,,30,30,,30,23,,70,30,80,30,80,23,23,23,23,23,23,23,50,9000,,,230
2005-08-08,23,30,,23,23,23,110,23,50,23,23,30,50,,50,130,,300,230,,220,80,300,130,500,300,80,1600,500,230,230,170,2400,90000,,,80
2005-08-11,80,30,,23,30,30,23,23,30,23,23,23,23,,300,230,,50,170,,500,170,220,170,1300,170,300,300,500,130,300,130,500,7000,,,270
2005-08-15,23,23,,23,23,23,30,30,23,30,23,1600,9000,,23,23,,23,23,,23,23,23,23,23,30,23,30,23,23,30,30,2400,50000,,,1700
2005-08-18,30,30,,50,23,23,23,30,23,50,50,500,23,,23,23,,130,30,,130,30,50,80,50,23,80,140,80,170,80,130,500,80000,,,280
2005-08-22,23,23,,23,30,50,23,23,23,23,23,23,30,,500,170,,500,230,,70,80,90,130,23,30,30,30,50,50,130,30,8000,130000,,,2300
2005-08-25,23,300,,230,30,90,23,23,23,23,23,23,80,,50,30,,30,80,,110,50,30,30,23,23,23,23,50,23,23,23,130,240000,,,700
2005-08-29,70,23,,30,170,23,23,23,23,23,23,3000,50000,,50,50,,70,23,,23,23,30,23,23,23,30,23,30,23,23,23,80,1600000,,,170
2005-09-01,23,23,,30,23,30,23,23,23,23,30,23,30,,30,30,,23,23,,30,30,30,50,50,70,140,30,50,30,80,50,140,8000,,,80
2005-09-05,23,23,,23,23,23,23,23,23,23,23,23,23,,30,30,,23,30,,50,30,30,23,30,23,23,30,23,30,30,50,2400,160000,,,800
2005-09-08,30,23,,23,230,300,23,23,30,23,23,50,50,,230,300,,230,800,,300,230,800,500,130,130,300,50,130,170,50,130,5000,30000,,,24000
2005-09-12,23,30,,800,23,23,130,23,80,23,23,130,800,,23,23,,30,1300,,23,3000,30,1300,800,800,130,130,80,230,30,130,300,30000,,,500
2005-09-15,23,23,,23,23,2400,23,30,23,23,23,9000,50000,,170,300,,800,170,,800,500,800,800,230,230,300,130,50,80,80,50,9000,1600000,,,13000
2005-09-19,50,23,,30,3000,50,23,30,23,23,23,500,5000,,130,130,,50,50,,130,230,50,130,80,80,230,50,50,80,30,300,300,130000,,,300
